"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*068n9*","Victor Kristiansen","LEI","D,M","179","FA","LEI 0<br/>@BOU 2 F","54.26","-","-","1","0","0","0","0","0","19","0","1","0"
"*068yd*","Joao Gomes","WOL","M,F","141","MOV","BRF 1<br/>@WOL 1 F","54.2","-","-","1","0","1","0","0","1","43","0","0","0"
"*06p67*","Sammie Szmodics","IPS","M","322","FA","WHU 3<br/>@IPS 1 F","54.13","-","-","1","0","0","0","1","0","6","0","1","0"
"*0328q*","Tom Cairney","FUL","M","344","FA","MCI 2<br/>@FUL 0 F","54.08","-","-","1","0","0","0","1","0","15","0","0","0"
"*045c8*","Gabriel Jesus","ARS","F","354","FA","ARS 2<br/>@SOU 1 F","53.93","-","-","1","0","1","0","0","0","16","0","0","0"
"*05rl4*","Crysencio Summerville","WHU","M,F","324","FA","WHU 3<br/>@IPS 1 F","53.86","-","-","1","0","0","0","0","0","4","3","0","0"
"*06mgj*","Ryan Manning","SOU","D,M","215","FA","ARS 2<br/>@SOU 1 F","53.84","-","-","1","0","2","0","0","0","5","0","0","0"
"*06nvg*","Jota Silva","NOT","M,F","296","FA","CHE 1<br/>@NOT 0 F","53.63","-","-","1","0","0","0","0","0","1","2","1","0"
"*066r9*","Ehor Yarmolyuk","BRF","M","315","FA","BRF 1<br/>@WOL 1 F","53.61","-","-","1","0","1","0","2","1","7","1","0","0"
"*02lpl*","Seamus Coleman","EVE","D","450","FA","EVE 1<br/>@NEW 0 F","53.59","-","-","1","0","0","0","1","1","15","3","0","0"
"*0637b*","Orel Mangala","NOT/EVE","M","313","FA","EVE 1<br/>@NEW 0 F","53.44","-","-","1","0","0","0","0","1","34","2","0","0"
"*05u4m*","Patson Daka","LEI","F","363","KLI","LEI 0<br/>@BOU 2 F","53.35","-","-","1","0","0","0","0","0","7","1","1","0"
"*06ab3*","Lewis Miley","NEW","M","398","FA","EVE 1<br/>@NEW 0 F","53.28","-","-","1","0","0","0","1","0","11","0","0","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","80","KLI","EVE 1<br/>@NEW 0 F","53.22","-","-","1","0","0","0","2","1","23","0","0","0"
"*04mdj*","Nathan Broadhead","IPS","M,F","335","FA","WHU 3<br/>@IPS 1 F","53.18","-","-","1","0","0","0","0","0","8","2","0","0"
"*04abn*","Harvey Barnes","NEW","M,F","118","NIM","EVE 1<br/>@NEW 0 F","53.12","-","-","1","0","0","1","0","0","4","0","0","0"
"*05opk*","Vladimir Coufal","WHU","D,M","304","NOAD","WHU 3<br/>@IPS 1 F","52.97","-","-","1","0","0","0","1","0","2","1","0","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","31","KLI","CRY 1<br/>@LIV 1 F","52.67","-","-","1","0","0","0","0","0","11","0","1","0"
"*06mg2*","Jack Taylor","IPS","M","383","FA","WHU 3<br/>@IPS 1 F","52.49","-","-","1","0","0","0","1","0","7","0","0","0"
"*02oox*","Kevin De Bruyne","MCI","M,F","135","MOV","MCI 2<br/>@FUL 0 F","52.3","-","-","1","0","0","0","0","0","11","1","0","0"
"*060wh*","Alejandro Garnacho","MUN","M,F","90","PMP","AVL 0<br/>@MUN 2 F","52.18","-","-","1","0","0","0","0","0","3","2","0","0"
"*05n07*","Pedro Porro","TOT","D","52","NIM","BHA 4<br/>@TOT 1 F","52.14","-","-","1","0","1","0","0","0","7","0","0","0"
"*04mcg*","Ben Johnson","IPS","D,M","350","FA","WHU 3<br/>@IPS 1 F","52.07","-","-","1","0","0","0","0","0","8","0","1","0"
"*05oig*","Liam Delap","IPS","F","92","W_W","WHU 3<br/>@IPS 1 F","51.98","-","-","1","0","0","0","0","0","2","2","0","0"
"*03ena*","Aaron Cresswell","WHU","D","343","FA","WHU 3<br/>@IPS 1 F","51.94","-","-","1","0","1","0","0","0","6","0","0","0"
"*05ocl*","Ollie Watkins","AVL","F","32","OSW","AVL 0<br/>@MUN 2 F","51.87","-","-","1","0","0","0","0","0","7","0","1","0"
"*068yo*","Kamaldeen Sulemana","SOU","M,F","256","FA","ARS 2<br/>@SOU 1 F","51.69","-","-","1","0","0","0","1","0","3","0","0","0"
"*06mve*","Joshua Zirkzee","MUN","F","255","FA","AVL 0<br/>@MUN 2 F","51.69","-","-","1","0","0","0","1","0","3","0","0","0"
"*05mxc*","Timo Werner","TOT","M,F","399","FA","BHA 4<br/>@TOT 1 F","51.5","-","-","1","0","0","0","0","0","7","1","0","0"
"*037wp*","Christian Eriksen","MUN","M,F","326","FA","AVL 0<br/>@MUN 2 F","51.42","-","-","1","0","0","0","0","0","14","0","0","0"
"*02opy*","Adam Lallana","SOU","M","451","FA","ARS 2<br/>@SOU 1 F","51.34","-","-","1","0","1","0","0","0","3","0","0","0"
"*04e1k*","Solly March","BHA","M","497","FA","BHA 4<br/>@TOT 1 F","51.29","-","-","1","0","0","0","1","0","1","0","0","0"
"*06mn8*","Rodrigo Gomes","WOL","M,F","319","FA","BRF 1<br/>@WOL 1 F","51.29","-","-","1","0","0","0","1","0","1","0","0","0"
"*02lpf*","Ross Barkley","AVL","M","340","FA","AVL 0<br/>@MUN 2 F","51.23","-","-","1","0","0","0","0","0","13","0","0","0"
