"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*04yjx*","Ki-Jana Hoever","LIV/WOL","D,M","375","FA","MUN 2<br/>@WOL 1 F","54.63","-","-","-","-","2","0","0","0","2","0","30","0","1","0"
"*02lv9*","James Milner","LIV","M","272","FA","CRY 0<br/>@LIV 2 F","54.63","-","-","-","-","2","0","0","0","0","0","33","2","1","0"
"*035mq*","Isaac Hayden","NEW","D,M","222","FA","NEW 2<br/>@FUL 0 F","54.13","-","-","-","-","1","0","0","1","1","1","18","2","3","0"
"*05n5p*","Mohammed Salisu","SOU","D","319","FA","SOU 0<br/>@WHU 3 F","53.9","-","-","-","-","1","0","0","0","0","0","22","2","2","0"
"*04k81*","Oliver Burke","SHU","M,F","331","FA","BUR 0<br/>@SHU 1 F","53.71","-","-","-","-","2","0","0","1","1","0","16","0","1","0"
"*05r8w*","Willian Jose","WOL","F","332","FA","MUN 2<br/>@WOL 1 F","53.64","-","-","-","-","1","0","1","0","1","0","11","0","3","0"
"*05n08*","Ferran Torres","MCI","M,F","237","ADB","EVE 0<br/>@MCI 5 F","53.57","-","-","-","-","1","0","0","1","0","0","23","1","0","0"
"*02llb*","James McCarthy","CRY","M","370","FA","CRY 0<br/>@LIV 2 F","53.48","-","-","-","-","2","0","1","0","1","0","29","0","0","0"
"*04qos*","Issa Diop","WHU","D","266","FA","SOU 0<br/>@WHU 3 F","52.85","-","-","-","-","1","0","0","0","0","0","28","2","0","0"
"*03p9z*","Tyler Roberts","LEE","M,F","299","FA","WBA 1<br/>@LEE 3 F","52.68","-","-","-","-","1","0","2","1","0","1","20","1","1","0"
"*03r8r*","Ryan Fraser","NEW","M,F","388","FA","NEW 2<br/>@FUL 0 F","52.61","-","-","-","-","1","0","3","0","0","0","10","0","0","0"
"*03dxq*","Danny Ings","SOU","F","121","SJB","SOU 0<br/>@WHU 3 F","52.51","-","-","-","-","1","0","0","0","1","0","18","1","1","0"
"*02lun*","Sergio Aguero","MCI","F","339","PMP","EVE 0<br/>@MCI 5 F","52.3","-","-","-","-","1","0","1","0","0","0","23","1","0","0"
"*04yo6*","Miguel Almiron","NEW","M,F","168","FA","NEW 2<br/>@FUL 0 F","52.22","-","-","-","-","1","0","1","0","1","0","21","0","0","0"
"*04u6r*","Andre-Frank Zambo Anguissa","FUL","M","78","FUG","NEW 2<br/>@FUL 0 F","52.17","-","-","-","-","2","0","0","0","0","0","36","0","2","0"
"*05nt6*","Eberechi Eze","CRY","M","173","NOAD","CRY 0<br/>@LIV 2 F","52.14","-","-","-","-","2","0","0","0","1","0","34","0","0","0"
"*05mzz*","Pascal Struijk","LEE","D,M","87","BAR","WBA 1<br/>@LEE 3 F","52.09","-","-","-","-","1","0","0","0","1","0","21","0","2","0"
