"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03ysd*","Sam Byram","NOR","D","326","FA","TOT 5<br/>@NOR 0 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","181","NOAD","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05a6j*","Chem Campbell","WOL","F","489","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0411y*","Sergi Canos","BRF","M,F","282","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05os6*","Edinson Cavani","MUN","F","359","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r9c*","Cedric Soares","ARS","D","271","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mup*","Trevoh Chalobah","CHE","D,M","98","BAR","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02t1j*","Calum Chambers","ARS/AVL","D","309","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05xsd*","Daniel Chesters","WHU","M","521","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03v6t*","Ben Chilwell","CHE","D,M","331","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04lax*","Hamza Choudhury","LEI","D,M","430","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05vyd*","Caleb Chukwuemeka","AVL","F","582","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05re5*","Carney Chukwuemeka","AVL","M","411","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uho*","CJ Egan-Riley","MCI","D","501","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
