"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*051k7*","Reece James","CHE","D,M","151","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","1","0","0","0","0","0","0","0","0","0"
"*059iw*","Teddy Jenks","BHA","M","556","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0570n*","Joao Cancelo","MCI","D","179","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mcg*","Ben Johnson","WHU","D,M","413","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04o82*","Curtis Jones","LIV","M","393","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lnd*","Phil Jones","MUN","D","418","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0412t*","Corey Jordan","BOU","D","561","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051wj*","Jota","AVL","M,F","400","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0521z*","James Justin","LEI","D,M","263","SJB","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lol*","Harry Kane","TOT","F","69","FUG","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03srm*","N'Golo Kante","CHE","M","136","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*056iz*","Moise Kean","EVE","F","330","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0327r*","Michael Keane","EVE","D","93","PMP","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051k5*","Lloyd Kelly","BOU","D","389","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lk9*","Martin Kelly","CRY","D","243","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*057a1*","Gavin Kilkenny","BOU","M","565","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yey*","Max Kilman","WOL","D","419","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04gq0*","Nya Kirby","CRY","M","566","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ys6*","Timm Klose","NOR","D","374","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
