"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*051k7*","Reece James","CHE","D,M","151","FA","WOL 0<br/>@CHE 2 F","58.46","-","-","24","0","2","3","23","1","873","22","104","7"
"*04jyc*","Davinson Sanchez","TOT","D","152","NIM","TOT 1<br/>@CRY 1 F","58.34","-","-","29","0","0","3","27","6","1,326","34","144","4"
"*02oq3*","Jay Rodriguez","BUR","F","154","FA","BHA 2<br/>@BUR 1 F","58.18","-","-","36","8","1","30","19","1","324","5","67","0"
"*03vll*","Michail Antonio","WHU","M,F","155","PMP","AVL 1<br/>@WHU 1 F","58.04","-","-","24","10","3","31","9","3","305","9","62","0"
"*04tzt*","Jefferson Lerma","BOU","M","156","ADB","BOU 3<br/>@EVE 1 F","58.04","-","-","33","1","2","2","32","14","1,100","57","270","0"
"*04fkc*","Francisco Femenia Far","WAT","D","157","ADB","WAT 2<br/>@ARS 3 F","57.83","-","-","28","0","0","1","38","5","749","36","150","4"
"*052ka*","Sebastien Haller","WHU","F","158","FA","AVL 1<br/>@WHU 1 F","57.37","-","-","32","7","1","27","15","1","505","8","65","0"
"*02vls*","Alexander Tettey","NOR","D,M","159","FA","NOR 0<br/>@MCI 5 F","57.32","-","-","30","1","1","4","18","5","1,139","43","165","0"
"*055sk*","Nicolas Pepe","ARS","M,F","160","BAR","WAT 2<br/>@ARS 3 F","57.3","-","-","31","5","6","18","17","4","575","8","104","0"
"*04tig*","Fabian Schar","NEW","D","161","FA","LIV 3<br/>@NEW 1 F","57","-","-","22","2","0","6","21","5","569","47","112","5"
"*05229*","Frederic Guilbert","AVL","D,M","162","FA","AVL 1<br/>@WHU 1 F","56.95","-","-","25","0","2","3","43","7","516","49","104","4"
"*04g1w*","Antonio Rudiger","CHE","D","163","KLI","WOL 0<br/>@CHE 2 F","56.93","-","-","20","2","0","3","18","3","1,295","16","141","5"
"*03eki*","Cheikhou Kouyate","CRY","D,M","164","FA","TOT 1<br/>@CRY 1 F","56.54","-","-","35","1","1","4","32","4","629","43","139","0"
"*04fyc*","Charlie Taylor","BUR","D","165","FA","BHA 2<br/>@BUR 1 F","56.52","-","-","24","0","1","0","24","3","490","29","111","11"
"*03278*","Fernandinho","MCI","D,M","166","PNP","NOR 0<br/>@MCI 5 F","56.25","-","-","30","0","1","2","35","13","1,996","25","148","8"
