"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*05vyi*","Marc Leonard","BHA","M","654","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4i*","Hayden Lindley","AVL","M","656","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05oj4*","Emmanuel Longelo","WHU","F","658","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*054p1*","Brooklyn Lyons-Foster","TOT","D","660","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yf0*","Isaac Mabaya","LIV","M","661","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tsf*","Paris Maghoma","BRF","M","662","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r2b*","Anthony Mancini","BUR","M","663","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05xts*","Wanya Marcal-Madivadua","LEI","M","664","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rej*","Dilan Markanday","TOT","F","665","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*052ju*","Matty Longstaff","NEW","M","659","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r33*","Luke Mbete","MCI","D","670","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05x9l*","Xavier Mbuyamba","CHE","D","671","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ye3*","Joseph McGlynn","BUR","F","674","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05afe*","Teden Mengi","MUN","D","676","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05trn*","Jacob Montes","CRY","M","677","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y7b*","Kris Moore","LEE","D","678","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uoh*","James Morris","WAT","D","680","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ts6*","Yerson Mosquera","WOL","D","681","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05udw*","Romaine Mundle","TOT","M","683","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qna*","Marc Navarro","WAT","D","684","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05qz9*","Ben Nelson","LEI","D","685","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05oel*","Niels Nkounkou","EVE","D","686","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05alx*","James Norris","LIV","D","687","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mmx*","Michael Obafemi","SOU","F","690","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05vyg*","Odeluga Offiah","BHA","D","692","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060un*","Mazeed Ogungbo","ARS","D","693","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
