"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*03dxa*","Kevin Long","BUR","D","392","FA","BUR 0<br/>@SHU 1 F","27.28","-","-","-","-","8","0","1","0","6","2","189","6","18","2"
"*05747*","Jimmy Dunne","BUR","D","393","FA","BUR 0<br/>@SHU 1 F","27.25","-","-","-","-","3","1","2","1","3","1","105","6","23","0"
"*04u6m*","Bernard","EVE","M,F","394","FA","EVE 0<br/>@MCI 5 F","26.53","-","-","-","-","12","1","10","2","3","2","214","8","0","0"
"*051k3*","Jacob Ramsey","AVL","M","395","FA","CHE 1<br/>@AVL 2 F","26.33","-","-","-","-","22","0","6","1","5","0","190","4","7","0"
"*02lyr*","Kieran Gibbs","WBA","D","396","FA","WBA 1<br/>@LEE 3 F","26.29","-","-","-","-","10","0","4","0","11","4","196","16","9","0"
"*03yuo*","Keinan Davis","AVL","F","397","FA","CHE 1<br/>@AVL 2 F","26.13","-","-","-","-","15","1","6","2","1","0","54","0","18","0"
"*02ooq*","Hal Robson-Kanu","WBA","F","398","FA","WBA 1<br/>@LEE 3 F","25.99","-","-","-","-","19","2","5","6","1","2","56","2","11","0"
"*04t92*","Alireza Jahanbakhsh","BHA","M,F","400","FA","BHA 0<br/>@ARS 2 F","25.76","-","-","-","-","21","0","10","3","7","3","180","8","5","0"
"*05l0f*","Nathan Tella","SOU","M,F","401","FA","SOU 0<br/>@WHU 3 F","25.63","-","-","-","-","18","1","6","8","5","2","97","3","1","0"
"*05n05*","Jamie Shackleton","LEE","M","402","FA","WBA 1<br/>@LEE 3 F","25.55","-","-","-","-","13","0","2","0","6","0","172","9","0","0"
"*04tcc*","Jonny","WOL","D,M","403","FA","MUN 2<br/>@WOL 1 F","25.49","-","-","-","-","7","0","2","0","5","0","139","9","5","0"
"*037sc*","Erik Lamela","TOT","M","404","FA","TOT 4<br/>@LEI 2 F","25.37","-","-","-","-","23","1","9","9","9","7","281","6","6","0"
"*05ojf*","Fabio Carvalho","FUL","M,F","405","FA","NEW 2<br/>@FUL 0 F","25.34","-","-","-","-","4","1","2","5","6","0","67","1","1","0"
"*02rn6*","James Tomkins","CRY","D","406","FA","CRY 0<br/>@LIV 2 F","25.19","-","-","-","-","8","0","1","1","2","1","140","4","12","2"
"*05o8n*","Max Lowe","SHU","D,M","407","FA","BUR 0<br/>@SHU 1 F","25.15","-","-","-","-","8","0","2","1","11","1","125","5","5","0"
"*05a6e*","Neco Williams","LIV","D","408","FA","CRY 0<br/>@LIV 2 F","25.02","-","-","-","-","6","0","3","0","5","1","125","6","3","2"
"*02w3x*","Pablo Hernandez","LEE","M","409","FA","WBA 1<br/>@LEE 3 F","24.74","-","-","-","-","16","0","6","3","3","1","291","0","0","0"
